Entity,Code,Year,Renewables
Africa,,1966,4.456581
Africa,,1967,1.8906441
Africa,,1968,7.632515
Africa,,1969,8.784855
Africa,,1970,15.359833
Africa,,1971,-3.9792755
Africa,,1972,10.058141
Africa,,1973,4.7725983
Africa,,1974,12.019432
Africa,,1975,5.687555
Africa,,1976,11.373022
Africa,,1977,11.487872
Africa,,1978,1.0692108
Africa,,1979,9.069577
Africa,,1980,-3.4630616
Africa,,1981,5.259717
Africa,,1982,0.09328312
Africa,,1983,-13.793958
Africa,,1984,-2.0907943
Africa,,1985,13.886345
Africa,,1986,5.929001
Africa,,1987,-5.805661
Africa,,1988,12.502768
Africa,,1989,7.423978
Africa,,1990,3.3077393
Africa,,1991,9.485632
Africa,,1992,-7.652705
Africa,,1993,-2.9678617
Africa,,1994,2.2262082
Africa,,1995,6.55449
Africa,,1996,7.826877
Africa,,1997,4.663223
Africa,,1998,8.867258
Africa,,1999,11.181443
Africa,,2000,15.059371
Africa,,2001,15.235146
Africa,,2002,10.00257
Africa,,2003,-6.604523
Africa,,2004,13.148913
Africa,,2005,2.0034697
Africa,,2006,9.987313
Africa,,2007,6.232772
Africa,,2008,3.6178932
Africa,,2009,7.014288
Africa,,2010,21.706038
Africa,,2011,8.3972225
Africa,,2012,1.5053835
Africa,,2013,17.213501
Africa,,2014,25.588284
Africa,,2015,9.343176
Africa,,2016,3.4589522
Africa,,2017,24.68152
Africa,,2018,29.195988
Africa,,2019,25.007586
Africa,,2020,31.53525
Africa,,2021,34.119686
Africa,,2022,19.509289
Africa,,2023,26.001587
Africa,,2024,16.798584
Africa (EI),,1966,4.456581
Africa (EI),,1967,1.8906441
Africa (EI),,1968,7.632515
Africa (EI),,1969,8.784855
Africa (EI),,1970,15.359833
Africa (EI),,1971,-3.9792755
Africa (EI),,1972,10.058141
Africa (EI),,1973,4.7725983
Africa (EI),,1974,12.019432
Africa (EI),,1975,5.687555
Africa (EI),,1976,11.373022
Africa (EI),,1977,11.487872
Africa (EI),,1978,1.0692108
Africa (EI),,1979,9.069577
Africa (EI),,1980,-3.4630616
Africa (EI),,1981,5.259717
Africa (EI),,1982,0.09328312
Africa (EI),,1983,-13.793958
Africa (EI),,1984,-2.0907943
Africa (EI),,1985,13.886345
Africa (EI),,1986,5.929001
Africa (EI),,1987,-5.805661
Africa (EI),,1988,12.502768
Africa (EI),,1989,7.423978
Africa (EI),,1990,3.3077393
Africa (EI),,1991,9.485632
Africa (EI),,1992,-7.652705
Africa (EI),,1993,-2.9678617
Africa (EI),,1994,2.2262082
Africa (EI),,1995,6.55449
Africa (EI),,1996,7.826877
Africa (EI),,1997,4.663223
Africa (EI),,1998,8.867258
Africa (EI),,1999,11.181443
Africa (EI),,2000,15.059371
Africa (EI),,2001,15.235146
Africa (EI),,2002,10.00257
Africa (EI),,2003,-6.604523
Africa (EI),,2004,13.148913
Africa (EI),,2005,2.0034697
Africa (EI),,2006,9.987313
Africa (EI),,2007,6.232772
Africa (EI),,2008,3.6178932
Africa (EI),,2009,7.014288
Africa (EI),,2010,21.706038
Africa (EI),,2011,8.3972225
Africa (EI),,2012,1.5053835
Africa (EI),,2013,17.213501
Africa (EI),,2014,25.588284
Africa (EI),,2015,9.343176
Africa (EI),,2016,3.4589522
Africa (EI),,2017,24.68152
Africa (EI),,2018,29.195988
Africa (EI),,2019,25.007586
Africa (EI),,2020,31.53525
Africa (EI),,2021,34.119686
Africa (EI),,2022,19.509289
Africa (EI),,2023,26.001587
Africa (EI),,2024,16.798584
Algeria,DZA,1966,-0.125
Algeria,DZA,1967,0.15277779
Algeria,DZA,1968,0.42500007
Algeria,DZA,1969,-0.5611112
Algeria,DZA,1970,0.60833335
Algeria,DZA,1971,-0.69444436
Algeria,DZA,1972,0.4583333
Algeria,DZA,1973,0.71388865
Algeria,DZA,1974,-0.70833313
Algeria,DZA,1975,-0.4694444
Algeria,DZA,1976,0.16944444
Algeria,DZA,1977,-0.33333337
Algeria,DZA,1978,-0.052777767
Algeria,DZA,1979,0.11388892
Algeria,DZA,1980,-0.09444445
Algeria,DZA,1981,0.30277777
Algeria,DZA,1982,0.3138889
Algeria,DZA,1983,-0.6777778
Algeria,DZA,1984,0.6027778
Algeria,DZA,1985,0.53888893
Algeria,DZA,1986,-1.1
Algeria,DZA,1987,0.6916667
Algeria,DZA,1988,-0.8777778
Algeria,DZA,1989,0.11944443
Algeria,DZA,1990,-0.25277776
Algeria,DZA,1991,0.4388889
Algeria,DZA,1992,-0.26111114
Algeria,DZA,1993,0.4277777
Algeria,DZA,1994,-0.5194444
Algeria,DZA,1995,0.07500005
Algeria,DZA,1996,-0.16111112
Algeria,DZA,1997,-0.16666667
Algeria,DZA,1998,0.3888889
